channel_id,title,published_at,country,uploads_playlist,subscriber_count,view_count,video_count
UC-ehnem-k8Z9mXeCykuZkag,성대현 골프TV,2020-06-09T04:15:29.121857Z,KR,UU-ehnem-k8Z9mXeCykuZkag,84600,35068483,448
UC2XG0imSKv6ABrcwWlVxXiw,진봉이의 영상일기,2019-01-30T05:56:04Z,KR,UU2XG0imSKv6ABrcwWlVxXiw,83800,16558629,133
UCmApNdJszz9T-kpxji_xxkA,NOL 티켓,2013-12-06T06:05:02Z,KR,UUmApNdJszz9T-kpxji_xxkA,83800,83993498,1797
UCBFeV5LCrT4gk0XJldgIh5Q,OrangeCat&Friends  귤냥이와친구들 ,2021-03-22T10:53:51.553207Z,KR,UUBFeV5LCrT4gk0XJldgIh5Q,84800,57153506,393
UCdGTtaI-ERLjzZNLuBj3X6A,널널한 개발자 TV,2013-03-10T07:17:37Z,KR,UUdGTtaI-ERLjzZNLuBj3X6A,87400,7098087,854
UCwRZajcqhNZ2O4hnpZR1LdQ,러빈채아,2016-11-03T05:31:03Z,,UUwRZajcqhNZ2O4hnpZR1LdQ,86400,17377617,56
UCNS486DlVIvdRgOxnCQdzmA,이경민,2017-01-11T00:53:44Z,KR,UUNS486DlVIvdRgOxnCQdzmA,86200,74625433,691
UCmxfBO-8l9ZOt5NCnZHoJTw,KORIZON Esports,2018-04-06T03:16:26Z,KR,UUmxfBO-8l9ZOt5NCnZHoJTw,84600,57498583,1230
UCRp-tGAjr7A4Y4vKObYoGtQ,THE LIVE 더 라이브,2019-06-18T06:57:59Z,KR,UURp-tGAjr7A4Y4vKObYoGtQ,83300,22884029,177
UCbVdeJXplPobWIQMWVU3YEw,Heea Park,2015-01-06T21:18:37Z,KR,UUbVdeJXplPobWIQMWVU3YEw,83200,28960196,210
UC17ItE3c0MZ5CyHumJXWn7w,농잘알,2018-12-22T15:06:07Z,KR,UU17ItE3c0MZ5CyHumJXWn7w,83900,18810489,138
UCty7VemYrKM1b4pp0RAsuTA,"Hello, My Music",2018-12-03T13:37:55Z,KR,UUty7VemYrKM1b4pp0RAsuTA,85400,983922,84
UCS4LH1UzCrMcMWIbDkCDS9A,서우파,2018-03-19T11:49:45Z,KR,UUS4LH1UzCrMcMWIbDkCDS9A,86200,1127647,568
UC9GmCCFySlWir_jJt88S3WA,꼬미꼬미,2014-02-10T22:30:05Z,KR,UU9GmCCFySlWir_jJt88S3WA,86500,98985943,206
UCUDvG4CPnP4Y6RLaS_nI8tw,꾸킹,2021-08-05T14:25:54.608233Z,KR,UUUDvG4CPnP4Y6RLaS_nI8tw,85300,39743068,485
UCMyUWL6Mi-2cOPpfjyQV3Zg,필리핀 김마담 MadamKim ,2020-09-23T13:06:59.942785Z,PH,UUMyUWL6Mi-2cOPpfjyQV3Zg,83300,16801300,517
UC5Na93sFZY-CTwmPwi48XHg,바그냥,2016-04-23T12:55:41Z,KR,UU5Na93sFZY-CTwmPwi48XHg,84900,19278596,321
UCk4Lelrg8sETIFFl-SXv6jA,청소고수,2023-09-24T06:45:38.483188Z,KR,UUk4Lelrg8sETIFFl-SXv6jA,90400,11363458,89
UCudgt9INmioIX6WiuFQ3Abw,세소티비,2014-04-04T05:40:39Z,KR,UUudgt9INmioIX6WiuFQ3Abw,84100,1342233,501
UCwZZwBpUxG9nC-FDdDGcnxg,신화방송ShinwhaShow,2012-04-03T07:11:26Z,,UUwZZwBpUxG9nC-FDdDGcnxg,85800,74255697,846
UClATH__FgfVBUtKvDvzLl-Q,브라운아이드소울(Brown Eyed Soul),2010-11-22T14:26:18Z,KR,UUlATH__FgfVBUtKvDvzLl-Q,85800,164750490,114
UCTb6yTpYE5A5pzWDAv8CDcw,맛있는 모형[Delicious Replica],2018-05-08T04:58:04Z,KR,UUTb6yTpYE5A5pzWDAv8CDcw,84400,9040941,139
UCxdayJ2v3MJk8eraNrYLzdQ,파리 습제르맹 - Paris SBS-Germain,2020-03-27T05:49:32.432147Z,KR,UUxdayJ2v3MJk8eraNrYLzdQ,82800,99830666,1981
UCWsaRV2iooFb8gny7Q3EtyA,CHOMMY,2016-09-26T04:41:03Z,,UUWsaRV2iooFb8gny7Q3EtyA,84900,714990,12
UCVgTydj9KUfDm_qmXPtx0FA,에프람,2015-11-08T03:07:27Z,KR,UUVgTydj9KUfDm_qmXPtx0FA,85400,76047428,3137
UCgISSs3Odu2Wj_bhH-GHvnw,해양수산부,2013-04-15T05:50:28Z,KR,UUgISSs3Odu2Wj_bhH-GHvnw,86400,51815434,2517
UCPsuhauIjL1o8xClEmoIArA,NEWBEAT ,2024-06-17T10:10:10.536512Z,KR,UUPsuhauIjL1o8xClEmoIArA,94400,24295863,1552
UCReENaX7jbFVGMu5fuv92rQ,ch B tv,2020-11-10T02:07:51.499601Z,KR,UUReENaX7jbFVGMu5fuv92rQ,87000,141755924,7233
UCXYNuWjnQRSAXCGl9gv8Ncw,라스 마인크래프트,2017-01-30T14:00:45Z,KR,UUXYNuWjnQRSAXCGl9gv8Ncw,94100,41208420,365
UCkBLIp5uxBkwSsxpNTnoXxg,차차 CHA!,2020-08-27T13:02:02.931416Z,KR,UUkBLIp5uxBkwSsxpNTnoXxg,84700,19723452,281
UCUKkUigKgKVSUIPZSI9a8ag,유기동물을 부탁해,2011-11-06T14:03:42Z,KR,UUUKkUigKgKVSUIPZSI9a8ag,84700,34682543,437
UCzVsQLMgv-CaetS2Iqv3otg,4시,2011-12-04T12:11:47Z,KR,UUzVsQLMgv-CaetS2Iqv3otg,86100,33064194,584
UCs9jZ5quA845KXq-rr-YhhA,"건물의신-에어비앤비,숙박업,부동산경매",2012-11-18T07:00:22Z,KR,UUs9jZ5quA845KXq-rr-YhhA,85500,96389,115
UCdjJRTPyex01MxLXmMgg3GQ,정승환 Jung Seung Hwan,2025-05-04T02:04:40.424062Z,KR,UUdjJRTPyex01MxLXmMgg3GQ,109000,348447721,139
UCIFkREG7Xbzog0ADLKr24UQ,NatJoonho주노준호 (National Joonho),2012-05-24T14:59:19Z,KR,UUIFkREG7Xbzog0ADLKr24UQ,84700,102452993,1834
UC93HCsxW7bPLHdPfrHX8c-A,스포츠니어스,2016-07-21T03:17:09Z,KR,UU93HCsxW7bPLHdPfrHX8c-A,85800,63593924,3088
UCVfuaM8s5R5hl8Agqi1Mgyw,BByoi Crafts 뾰이월드 - 만들기,2021-07-31T10:54:37.342324Z,KR,UUVfuaM8s5R5hl8Agqi1Mgyw,85600,58212717,95
UCZCiOVgBEb7IHdSOjQrsmmw,후스파파의 부동산 상식사전,2019-03-07T07:12:27Z,KR,UUZCiOVgBEb7IHdSOjQrsmmw,86500,12864714,936
