channel_id,title,published_at,country,uploads_playlist,subscriber_count,view_count,video_count
UCWTpmGMoGCyOgWrwiaBA5Ng,Bus Car Story ,2018-04-24T06:42:15Z,KR,UUWTpmGMoGCyOgWrwiaBA5Ng,995000,508357428,479
UCzYB6YA5f-Tc7GQcIese7pg,옆집언니 최실장 stylist unnie,2018-06-28T05:05:49Z,KR,UUzYB6YA5f-Tc7GQcIese7pg,1010000,264926273,1114
UCoC-ZGuPCvJJrbcz9eMW8zw,가비 걸 GABEE GIRL,2012-01-12T16:15:35Z,KR,UUoC-ZGuPCvJJrbcz9eMW8zw,997000,680552972,684
UCPGZyaFaJe0IXRIhVFXatBQ,PianiCast,2018-03-25T07:42:19Z,KR,UUPGZyaFaJe0IXRIhVFXatBQ,977000,389613206,114
UCxuf3GXK290vcpFW0lxm0Uw,이봉규TV,2018-09-01T13:29:37Z,KR,UUxuf3GXK290vcpFW0lxm0Uw,979000,899118461,16099
UCZVD--cl8FLRn7kmSudAuBA,과나gwana,2019-10-05T14:42:26Z,KR,UUZVD--cl8FLRn7kmSudAuBA,996000,367925123,242
UCriPmQ2RpvdNSZkMwuOmTnQ,U.M.A.우마,2016-03-27T21:21:15Z,KR,UUriPmQ2RpvdNSZkMwuOmTnQ,981000,298251146,156
UCsLoTwOpElvEixfF1-O90rA,EBS 컬렉션 - 라이프스타일,2017-05-24T10:39:14Z,,UUsLoTwOpElvEixfF1-O90rA,1010000,751422474,4750
UCZniutcfkGfffyL9__BXo6g,에나스쿨 ENA School,2017-07-18T12:53:47Z,KR,UUZniutcfkGfffyL9__BXo6g,1000000,1018407468,962
UCdAMP2PAJ6hOWy18BYqNR2A,롤롤라임팸[lollolraimfam],2019-03-16T02:29:24Z,KR,UUdAMP2PAJ6hOWy18BYqNR2A,1010000,593103502,955
UC7Krez5EI8pXKHnYWsE-zUw,크리스 [구 소련여자],2019-07-28T08:13:15Z,KR,UU7Krez5EI8pXKHnYWsE-zUw,985000,203316866,161
UCJpGg1tfKID4YqvZCAig_Fw,코믹마트,2018-07-05T12:56:48Z,KR,UUJpGg1tfKID4YqvZCAig_Fw,1010000,1000172650,2388
UCCJkwrmhIqWkSFV-sQol4Qw,밍꼬발랄Mingggo,2018-06-18T03:44:30Z,KR,UUCJkwrmhIqWkSFV-sQol4Qw,975000,1581631610,852
UCugbqfMO94F9guLEb6Olb2A,한겨레TV,2007-06-18T06:37:45Z,KR,UUugbqfMO94F9guLEb6Olb2A,987000,727307152,13087
UCrZpcsm1OVzHRJswMxJ2lzg,잠골버스,2014-02-28T12:46:48Z,KR,UUrZpcsm1OVzHRJswMxJ2lzg,1020000,612398506,992
UCXXlcPH1stsP3VwYG90s4wg,밀라논나 Milanonna,2019-10-07T09:18:59Z,KR,UUXXlcPH1stsP3VwYG90s4wg,1000000,107871573,189
UChb4gtsgSdwMDktdLukfrfw,김진짜 Real KIM,2019-12-15T05:28:35.296286Z,KR,UUhb4gtsgSdwMDktdLukfrfw,1040000,319318784,673
UCHzW_7Mf8G0JxP4b0LoAd7A,K-Culture NOW by 연합뉴스,2016-03-03T00:42:53Z,KR,UUHzW_7Mf8G0JxP4b0LoAd7A,1000000,893076152,16279
UCAaLhok91QDrweyuDRsmjqQ,킴성태TV,2013-06-19T11:37:33Z,KR,UUAaLhok91QDrweyuDRsmjqQ,998000,1089274975,2644
UCsIAfWi3uxjnQPpdvBgBI4Q,Family Kim 패밀리김,2017-07-09T17:57:46Z,KR,UUsIAfWi3uxjnQPpdvBgBI4Q,990000,228138580,406
UC8tYgnrcFXk7OCY_uoBmh-A,효기심,2012-10-09T07:41:50Z,KR,UU8tYgnrcFXk7OCY_uoBmh-A,998000,137469825,163
UCyUe2pNRUEMD_MMJaVAgapA,sankokesl,2011-04-01T05:53:40Z,KR,UUyUe2pNRUEMD_MMJaVAgapA,996000,10282358,136
UC48NSSfUBsmL0k0wKxSqRkw,릴카,2017-09-27T06:02:38Z,KR,UU48NSSfUBsmL0k0wKxSqRkw,999000,558139171,1368
UC0M-_02RJqMlGTKUjF1WhJg,가로세로연구소,2018-07-16T13:00:30Z,KR,UU0M-_02RJqMlGTKUjF1WhJg,987000,169684046,1928
UClSxH8KQdfytf2raNAByMiA,Troom Troom Kr,2018-06-26T09:13:54Z,,UUlSxH8KQdfytf2raNAByMiA,1000000,683071712,3236
UCmkkFJIalgnWovxFigYK2EA,NH농협은행,2012-11-08T06:44:25Z,KR,UUmkkFJIalgnWovxFigYK2EA,1010000,445729757,1089
UCfWtQwSgfy3tm0zUt-PWG-g,MOMOLAND (모모랜드),2020-07-14T02:23:55.817548Z,KR,UUfWtQwSgfy3tm0zUt-PWG-g,999000,189276046,193
UC0I-_TJVRKxI8dhz7ZNUWYQ,터닝메카드 갓 - TURNING MECARD GOD OFFICIAL,2016-07-11T08:45:53Z,KR,UU0I-_TJVRKxI8dhz7ZNUWYQ,1000000,957190092,2259
UC8OUSYm-ztRAT6EE6VHPpGw,MBC 미스터리 : 심야괴담회 X 서프라이즈,2016-10-25T00:46:16Z,KR,UU8OUSYm-ztRAT6EE6VHPpGw,989000,798746568,6788
UCOTJtP0Z9DjpPU43B5m1V6A,[ALTUBE] 김성현TV,2016-10-25T17:42:28Z,KR,UUOTJtP0Z9DjpPU43B5m1V6A,1010000,2198102516,6673
UCySazY_iw_LlE6WHyQXuZ6g,고고다이노,2014-04-04T06:28:02Z,KR,UUySazY_iw_LlE6WHyQXuZ6g,988000,739139276,1947
UC41Vyqs1wSY0FTMqDsLsELA,SBS 옛날 드라마 - 빽드,2011-05-09T08:32:25Z,KR,UU41Vyqs1wSY0FTMqDsLsELA,1030000,1793031221,13506
UCbiTp5h2PgYxAFEV4l19NRQ,베이비버스 장난감 친구들!,2017-09-26T01:40:28Z,KR,UUbiTp5h2PgYxAFEV4l19NRQ,985000,400172194,361
UC45hk7RSPPS_tezwn5rcL0A,전옥현 안보정론TV,2013-08-18T23:38:32Z,KR,UU45hk7RSPPS_tezwn5rcL0A,998000,948588425,12805
UCcfz-8gGDYJfaRHYD7kkQpw,카랑Karang,2016-10-23T22:50:32Z,KR,UUcfz-8gGDYJfaRHYD7kkQpw,1010000,631161091,675
UCtYHCl8yhhvpWfcvdA_sCVg,자취남,2012-03-24T09:27:42Z,KR,UUtYHCl8yhhvpWfcvdA_sCVg,994000,603236536,1736
UC2C-970d2o-YGLPqsG6FcWQ,삼성전자 뉴스룸 [Samsung Newsroom],2010-01-29T03:52:39Z,KR,UU2C-970d2o-YGLPqsG6FcWQ,1050000,469049804,1220
UCGsJRpGI3iFpf0lIUIgbsBw,KBS StarTV: 인물사전,2019-01-09T00:39:46Z,KR,UUGsJRpGI3iFpf0lIUIgbsBw,1020000,803484456,3552
UCnXNukjRxXGD8aeZGRV-lYg,스포타임,2015-09-02T06:43:34Z,KR,UUnXNukjRxXGD8aeZGRV-lYg,1000000,1732728618,15070
UCAbu-rUyFqWw5k5jlSG-Jvw,V LIVE,2015-07-21T13:39:35Z,,UUAbu-rUyFqWw5k5jlSG-Jvw,1000000,639768082,2821
UCWiS4vemV0wcxuxYPx9Z62g,충주시,2019-04-08T04:25:56Z,KR,UUWiS4vemV0wcxuxYPx9Z62g,821000,923644698,522
UCRLM0MWS7m8vXzQ_5z2e7fA,히스토리,2017-09-26T14:30:39Z,KR,UURLM0MWS7m8vXzQ_5z2e7fA,972000,776336471,3558
UCyn7aoxdLNDZG2ZXXLoVCNQ,쿡피아 Cookpia,2020-03-26T14:35:26.616771Z,KR,UUyn7aoxdLNDZG2ZXXLoVCNQ,983000,222649685,566
UCb_GEWOGkCTXawWZKDtALwg,구불,2017-01-01T08:10:46Z,KR,UUb_GEWOGkCTXawWZKDtALwg,1000000,307732189,402
UC8p2BFLsMGSfBdpwNs4Zq1A,뉴스데일리베스트,2013-04-28T15:48:46Z,KR,UU8p2BFLsMGSfBdpwNs4Zq1A,1020000,357814198,5246
UCsLgKKiv8kDDGy1stC8BxVA,공부의신 강성태,2007-02-11T16:46:37Z,KR,UUsLgKKiv8kDDGy1stC8BxVA,983000,359270512,3075
UCquCOGattLleH5erOxiWVmQ,YG TREASURE BOX,2018-08-13T06:18:11Z,KR,UUquCOGattLleH5erOxiWVmQ,974000,323002990,496
UCQOxUtjZJAQpxCIqBgfoCRA,셀코TV / 잘 먹고 잘 사는 방법,2018-07-12T08:09:09Z,KR,UUQOxUtjZJAQpxCIqBgfoCRA,1000000,188519837,2255
UCdXB-xqrg37isIQwF0Z5-Dw,KBSKids,2015-12-28T07:22:47Z,KR,UUdXB-xqrg37isIQwF0Z5-Dw,1030000,1151949512,7157
UC8HNshpReWjQv1WpwzhPHjA,SF9,2016-09-12T04:04:00Z,KR,UU8HNshpReWjQv1WpwzhPHjA,996000,198233480,1476
