video_id,video_published_at,comment_index,id,parent,is_reply,parent_is_uploader,text,author_id,author_is_uploader,author_is_verified,like_count,timestamp,is_favorited,is_pinned
mSnt05fG-mc,2024-02-27 06:30:12,0,Ugz-gCKElIv8V5LkzKZ4AaABAg,root,False,False,"초록이형한테 하면 난리나겠는데 이거 ㅋㅋ
욱철욱 ㅋㅋㅋ",UCXwyaYiYcUs5AeA_m6hveyw,False,False,34,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,1,Ugw3ra0tIqHIvTWJHR54AaABAg,root,False,False,깔깔깔,UCs65Cezx0P_kU7Sc2Hl8puA,False,False,6,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,2,Ugy735NeunlZPO4EZCZ4AaABAg,root,False,False,요즘 고려거란전쟁 보고있는데 안경벗고 장수로 나오시는거 잘 보고있어여,UCtbhQADck1ojQ_BfgrQgMfA,False,False,4,2024-05-19 00:00:00,False,False
mSnt05fG-mc,2024-02-27 06:30:12,3,UgzgNWH_jJ8Ogu17A4F4AaABAg,root,False,False,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,UCRmd3hiqcyNW-fRbS8lbcFw,False,False,6,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,4,UgzXXZE6Z7rNqMlV9Ot4AaABAg,root,False,False,선민이형 !!  조만간 할리 뒤에다가 훈이형 상탈시켜서 드라이브 하자!!!ㅋㅋㅋㅋㅋ,UCdf3A3QgznMmirzwQt7B6HQ,False,False,3,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,5,UgyjORSAf_oDVG4Lwll4AaABAg,root,False,False,홍박사 옆에 머리 빠진얘ㅋㅋ,UCehxxv88GgCkHiM1LKIZe5Q,False,False,5,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,6,UgwCSWjYDbFxe-m7hHR4AaABAg,root,False,False,😂😂😊  선민님 속상,UC_72Bd-9YVgC4SWC36pAxDw,False,False,2,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,7,UgyeP5tj-PJxqt3QISd4AaABAg,root,False,False,"너무 우울해지게 왜그래.....
그래도 세분 다 내가 좋아하는 사람들이니 재밌는거 계속 부탁해요 ^^",UCT9HM5QwShPfk1GnNa0gL5w,False,False,1,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,8,Ugx4r8NiONa_r78ZEIR4AaABAg,root,False,False,턱쟁이 유룡이 요새 왜 이렇게 귀엽고 사랑스럽지?,UCyZjlvhVykP0izkNinwa8Kw,False,False,2,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,9,UgzQSdNiLeou7ftyH2h4AaABAg,root,False,False,ㅋㅋㅋㅋㅋ,UCXhyVuiD_NWIB4bia0H4XWQ,False,False,2,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,10,Ugyof6Y4jEqTE1NAmDB4AaABAg,root,False,False,😂😂😂😂😂😂😂😂개 우낌😂😂😂😂😂😂😂😂😂😂😂😂❤,UCsMJK7OAP6YOrvygm-LaSHg,False,False,1,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,11,UgzfHLfThJpa4zQBTcl4AaABAg,root,False,False,ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,UCgkDSKSeWSnpV76ryAZzhSA,False,False,1,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,12,Ugw12NT1r8_ulb2YuSJ4AaABAg,root,False,False,죠지기 당하는거는 룡이 옵빠가 재밌는데~~😂😂 재훈오빠 모하냐구여~~~ 롸잇 나우 😅😅😅,UCYe91f2uJ_G3_k-LpxAp45Q,False,False,2,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,13,UgwvtDkaA1DcbDIP7WR4AaABAg,root,False,False,ㅋㅋㅋ어 자기야 빵터졌어요🎉🎉,UCk1VL6Km-OUrKU66X63QXVw,False,False,0,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,14,UgxgdwZbJyg4ElfZ3kt4AaABAg,root,False,False,ㅋㅋㅋ조주봉 옆 머리빠진 대머맄ㅋㅋㅋㅋ 턱형 사람 멕이는건 국내원탑이다 진짜,UCFqT-Z4O_kJLWn9U0it1uag,False,False,0,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,15,UgxLcvnyqMWmxiky80t4AaABAg,root,False,False,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,UCTDrCOMcJ9BAvrKu9GQ6-hA,False,False,0,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,16,UgzDaXgg0WgZ1xefwod4AaABAg,root,False,False,승진이는 안나오나요,UCu9XynO5FRxO0HLXlvwTSCg,False,False,6,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,17,UgwXmQru_3P6QiR6BuN4AaABAg,root,False,False,선민이 귀엽다 턱쟁이 유룡💕,UCVzaZcBjymkiZipDhTMhkJg,False,False,0,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,18,UgxDYqRY4wqdVPJnwxx4AaABAg,root,False,False,초록이한테하게되면은 진짜영상안보아도웃길듯잼잇을듯,UCP7ee2l0h_om8uOI9d9VmbQ,False,False,1,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,19,UgzuzfDGKGJyrw0Cw-B4AaABAg,root,False,False,ㅠㅠ 속상해~😂,UCu7kx7PkoOBB0VFZIPMIZEA,False,False,0,2025-05-19 00:00:00,False,False
mSnt05fG-mc,2024-02-27 06:30:12,20,Ugxa8f9GShWPpkX8ZGt4AaABAg,root,False,False,"구독자가 또줄엇네
93.9 -> 93.8",UCLcUA3nxLVAVqN96_G53ilA,False,False,3,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,21,UgwE6Cb2F3Rt39Ia7Gd4AaABAg,root,False,False,꿀아저씨네?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,UCGJ7HUfnbB_5i-_maW5iIyQ,False,False,1,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,22,Ugxicb-gBNvElUdmm214AaABAg,root,False,False,배빌 보는 재미에 살아여  ♥,UCkX-E4RcOldM_MztuzrppJw,False,False,0,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,23,UgwWSzrpBZFi2_4mX7R4AaABAg,root,False,False,"아니 이 사람들 안되겠네
이선민씨 싸인지인데 그걸 폐지라니
폐지라니 이면지!!! 😂",UCTgYbORdQfjTiCMTj8yjP5A,False,False,0,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,24,Ugysl8gMsh64eQZRh_p4AaABAg,root,False,False,아주 천천히 걸어왔습니다,UCNmnLV1VBgzTr529LYlUaqw,False,False,1,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,25,UgwucU4C_kAnPbcjqf54AaABAg,root,False,False,아는형님 보고있습니다,UCFetEbxAOwtq_yyy6MouCEg,False,False,1,2024-05-19 00:00:00,False,False
mSnt05fG-mc,2024-02-27 06:30:12,26,UgzbzFi4MiGVI2dAIC54AaABAg,root,False,False,이거와는 별개로 배꼽빌라 팬 톡방 없어져버렸네요.,UCzWG9R38fyeXmIZ04upSbkg,False,False,1,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,27,UgxGzHzVRvIZeN0LVUF4AaABAg,root,False,False,😁😁😁😁😁😁😁😁😁😁😁,UCdl5W0ZDe7jDxQHGXShm2FA,False,False,0,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,28,Ugz0cpeqooJM34zBIpV4AaABAg,root,False,False,😆😆,UCcDD1TLxA34TGhlremy821g,False,False,1,2024-05-19 00:00:00,True,False
mSnt05fG-mc,2024-02-27 06:30:12,29,UgyFpgC9FtrSITgYfa14AaABAg,root,False,False,사인연습했겠네 ㅋㅋㅋㅋㅋ,UC6ObSi7O1QC2htjoLoBA2tA,False,False,0,2025-05-19 00:00:00,False,False
mSnt05fG-mc,2024-02-27 06:30:12,30,Ugw-xNQbKyWG42sGu-h4AaABAg,root,False,False,아는형님 보고왔습니다 김승진씨 너무 재밌어요~,UCC75RvaQr7Qc9HnuztWgv5g,False,False,0,2024-05-19 00:00:00,False,False
