video_id,video_published_at,comment_index,id,parent,is_reply,parent_is_uploader,text,author_id,author_is_uploader,author_is_verified,like_count,timestamp,is_favorited,is_pinned
N-mfmiTyUwo,2021-11-03 08:30:05,0,UgwRxWKy618eJLhq-jl4AaABAg,root,False,False,"사진과 목소리 매치가. . ㅋㅋㅋ  잘보고 있습니다
역사 유튜브에서는 최강자. 군더더기가 없어",UCaHwrJ3dsMSnnIifqajQk9g,False,False,36,2022-05-19 00:00:00,False,False
N-mfmiTyUwo,2021-11-03 08:30:05,1,Ugy6QfboMUruCGACY5t4AaABAg,root,False,False,"1시간 내내 정주행 해보긴 처음이네요 
몰입력 최고",UCVhU9-7kBGzvJcsgADNkPWw,False,False,28,2022-05-19 00:00:00,False,False
N-mfmiTyUwo,2021-11-03 08:30:05,2,UgwjPXDtyS_FbzMnOHx4AaABAg,root,False,False,최고의 역사수업,UCZZ07ZI4qlGX3IvMD4NwvJw,False,False,9,2022-05-19 00:00:00,False,False
N-mfmiTyUwo,2021-11-03 08:30:05,3,UgzK9IKN3n49Aj03X0B4AaABAg,root,False,False,효기심은 역시 말투랑 목소리가 짱임ㅋㅋ,UCCtj0bCYMrIXg6scRb3thTw,False,False,8,2022-05-19 00:00:00,False,False
N-mfmiTyUwo,2021-11-03 08:30:05,4,UgzkDMdNQZSwCkrPl1d4AaABAg,root,False,False,내 학창 시절에 효기심이 있었다면 하는 아쉬움이 큽니다..,UCV68VhYUdr6Ax7fP9faVQrA,False,False,8,2022-05-19 00:00:00,False,False
N-mfmiTyUwo,2021-11-03 08:30:05,5,UgxFiHos-TynwYKJLb14AaABAg,root,False,False,효기심 덕분에  학생때 공부 안했던 저도 역사 공부 너무 쉽게 해서 좋습니다 고마워요,UCAjjoqywkE6k3JFNbATmtZg,False,False,42,2022-05-19 00:00:00,False,False
N-mfmiTyUwo,2021-11-03 08:30:05,6,UgyLn9jIT0ZFiFYpBnh4AaABAg,root,False,False,새해가 밝은지 2주가 넘게 지났는데도 여전히 영상이 안올라오시는걸 보니 다음 영상은 매우 완성도 높은 영상일거라 생각합니다.,UCVx-RlZCDdKR-7kXLTiPxHA,False,False,21,2022-05-19 00:00:00,False,False
N-mfmiTyUwo,2021-11-03 08:30:05,7,UgyTMykK2aAPlo-1Kc14AaABAg,root,False,False,"아웅~ 그래따느은 검미다아~ 그러언대~
오지게 조아~ 너무조아~👍👏👏👏👏👏",UC91Om9TpSW9S4filuw-CPEg,False,False,9,2022-05-19 00:00:00,False,False
N-mfmiTyUwo,2021-11-03 08:30:05,8,UgyvVQ9NCobTypi2UDN4AaABAg,root,False,False,학교에서 1년동안 배운거보다 이해가 잘되요!!,UCnxcmnToMYfyeHU7mZNxkYQ,False,False,7,2022-05-19 00:00:00,False,False
N-mfmiTyUwo,2021-11-03 08:30:05,9,UgwDLeV6u5bm0InF-ad4AaABAg,root,False,False,알차다. 이런 컨텐츠는 슈퍼챗쏴줘야 한다. 슈ㅋ월드급 고퀄이다.,UC05-2DgAZPybfwsBTPm8ZHw,False,False,2,2022-05-19 00:00:00,False,False
