channel_id,channel_title,sensitive_score,n_sensitive_videos,sensitive_video_ratio,cat_politics,cat_hate,cat_aggro,cat_adult_illegal
UCdf4di4k4fU5lio8ZXQx6mQ,루스명품,0.7733,37,0.74,0,0,2,37
UC6nxfRgvAEcUPxQxsvF6lzw,미친감성 (감성사운드),0.7,47,0.94,1,0,52,0
UCWLdJ-g9j-ZUwlnR7fU1yCQ,강스라이팅,0.6933,29,0.58,43,0,5,0
UCzz58-H0wzmGoFi3MO_9ePQ,온마이크,0.6733,32,0.64,46,0,4,0
UCHkaQ4y4j3zrB0FfTU1Lc9w,더빙신안윤상,0.6267,32,0.64,45,0,1,1
UCLsJ7sVuGf0auEySnT2BHag,풋볼 포레스트 - Forrest Football,0.4733,27,0.54,0,0,33,0
UCSDUtDZNdNzR6weEb1QJNDQ,점집 용군TV,0.4467,22,0.44,2,0,29,0
UCc4OuY3PeWklqBzQ3ySi3xA,트래블튜브,0.4467,32,0.64,0,0,34,0
UCPpfTHg0QAHH4WqKZuLzimg,기묘한 케이지,0.4067,17,0.34,2,2,22,1
UCcbmCvUkjCEb0BJkJbR4EVQ,댓글 읽어주는 기자들,0.4,22,0.44,20,0,6,2
UCZ29rWWIqvFHQCsfhxZTqDA,영크릿l Young Cret,0.3867,24,0.48,1,0,25,2
UCVH-ebyY6XQJdqg1DpfiYMQ,시사링크,0.3733,24,0.48,25,0,2,0
UCbp1HhKUDmeI6enMXUxtgrg,연예 뒤통령이진호,0.3667,21,0.42,0,0,24,0
UC-FaJiyj_aXKCRwvnIHsQhw,인생꿀템,0.3636,18,0.5455,0,0,18,0
UCBKMc4nWENw_WGqkbzx-Lrg,STN SPORTS,0.36,18,0.36,0,0,18,0
UC-i29uxJTqD7xOWZJ-9lEQw,자영업의 모든것,0.34,19,0.38,18,0,4,0
UCXsbYbgwmk_zbTTdwCn_1Ig,엄튜브 ,0.3333,20,0.4,6,0,18,0
