video_id,video_published_at,comment_index,id,parent,is_reply,parent_is_uploader,text,author_id,author_is_uploader,author_is_verified,like_count,timestamp,is_favorited,is_pinned
Vi8JYIi9ld4,2017-06-28 13:16:35,0,UgzvzDBvGMl2WnzDZHt4AaABAg,root,False,False,넘 이뻐요,UC_6hNKe7HaL0liXERtfgw0w,False,False,0,2019-05-19 00:00:00,False,False
Vi8JYIi9ld4,2017-06-28 13:16:35,1,UghXMPTLkURPN3gCoAEC,root,False,False,Yooyoung is so cute and has such a pretty eye smile!,UCgZ5ISCwstUcUJVj1X9yEfQ,False,False,7,2018-05-19 00:00:00,False,False
Vi8JYIi9ld4,2017-06-28 13:16:35,2,UggMuELy7EfatHgCoAEC,root,False,False,HELLOVENUS WE LOVE YOU💜💜,UChOwWwhBm1olWwhzKErOm3w,False,False,20,2018-05-19 00:00:00,False,False
Vi8JYIi9ld4,2017-06-28 13:16:35,3,UgiJJ55bjsrOF3gCoAEC,root,False,False,"congratz for finishing circle, love the drama.
wish you the success on another project.",UCY6MfaV3ZsIF2bYEI1P7Ebw,False,False,13,2018-05-19 00:00:00,False,False
Vi8JYIi9ld4,2017-06-28 13:16:35,4,UgjnwMxPrGGjr3gCoAEC,root,False,False,MY PRECIOUS BABY! 💛💛💛💛,UC_q1nGG5Pojs5_ij7_FEE1w,False,False,7,2018-05-19 00:00:00,False,False
Vi8JYIi9ld4,2017-06-28 13:16:35,5,UghsmtUhstSeSHgCoAEC,root,False,False,なんて言ってんのかわからんけどとてつもなく癒される💕💕💕💕💕,UCLMAaVnNTkAWPbxuK3RP-Eg,False,False,4,2018-05-19 00:00:00,False,False
Vi8JYIi9ld4,2017-06-28 13:16:35,6,UgjgMMeWI2qg8HgCoAEC,root,False,False,Yooyoung so pretty ❤ ❤ ❤ ❤,UCHveATKvrwCowAgSlynA-jQ,False,False,3,2018-05-19 00:00:00,False,False
Vi8JYIi9ld4,2017-06-28 13:16:35,7,UgiNHUXHQ3D_wHgCoAEC,root,False,False,Yooyoung😍😍😍,UC4qQIMfHAhZ9ZR2xEyxrujw,False,False,6,2018-05-19 00:00:00,False,False
Vi8JYIi9ld4,2017-06-28 13:16:35,8,UggNnjz9muffXHgCoAEC,root,False,False,Hello venus forever support,UC2vT5ZbhdVUPwuDExuXtHnA,False,False,8,2018-05-19 00:00:00,False,False
Vi8JYIi9ld4,2017-06-28 13:16:35,9,Ugzp-CWeXbYVQc3itxF4AaABAg,root,False,False,ILOVEYOU baby :*,UCq__sMh-DqWQajC06V-Vdkw,False,False,0,2020-05-19 00:00:00,False,False
Vi8JYIi9ld4,2017-06-28 13:16:35,10,Uggfad5-rmNIkngCoAEC,root,False,False,졸귀탱 ㅋㅋ,UCOxBsfCG0wwLobkyGOahkWw,False,False,1,2018-05-19 00:00:00,False,False
Vi8JYIi9ld4,2017-06-28 13:16:35,11,UgjJcHrOyTsZnHgCoAEC,root,False,False,LOVE YOU,UCLJDAn_CBkrEUfWV9mettiQ,False,False,1,2018-05-19 00:00:00,False,False
