video_id,video_published_at,comment_index,id,parent,is_reply,parent_is_uploader,text,author_id,author_is_uploader,author_is_verified,like_count,timestamp,is_favorited,is_pinned
pepuquZmNwo,2025-01-13 01:48:46,0,Ugx5uWLSZC-eKYiOdF94AaABAg,root,False,False,너무좋네요.. 휘트니님영상을 진짜 자주 봤었는데 즐겁게 지내시는걸 보니깐 좋네요,UCqOGTNGWx1yRPCQ2VpsEfvw,False,False,10,2025-05-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,1,UgxhYfB0hGHrhAFbuaJ4AaABAg,root,False,False,That was absolutely perfection,UC_a_qd6CPRQNsN8erYsngqQ,False,False,2,2025-07-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,2,Ugw8omEs8YRGnFiszzF4AaABAg,root,False,False,"I KNEW they were having meetings! There's no way they all just be saying and doing the same things universally! 😂 This was great, Whitney! Hope to see more from you. 🎉",UCml2jBwKxEFpOhRaMaj6VjA,False,False,7,2025-05-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,3,UgwCb_AKOPhkqb0A9014AaABAg,root,False,False,I said what I said. 😂 You better know that homework like you know that song,UCvG_I4ySPSl_nGVynCovySg,False,False,4,2025-05-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,4,Ugw8km4gX3LSaqBQYi54AaABAg,root,False,False,🎉🎉😂😂😂 so good! Thnks for sharing,UCKh0XvW7fOBEfskUgyiR9Wg,False,False,4,2025-05-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,5,UgxgIcDMBii12L8zF5V4AaABAg,root,False,False,Hiiiii you did great,UCBcUPlkLk2YFz-7KBkgsfjQ,False,False,4,2025-05-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,6,Ugx0iwb7IaZt3ZzTN_t4AaABAg,root,False,False,😂 this was so cute! The wig throw,UClE27xEmGX09-1EKbeMQJEw,False,False,2,2025-05-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,7,UgwATDrBkOiU01v6Sth4AaABAg,root,False,False,Going to my following list on YouTube and got a blast from the past. I love your videos so much Whitney! Thank you for always sharing with us and being such a sweet and amazing person ♥️💕,UC7IWNV3NeRAE4Vw9lpmKJjw,False,False,0,2025-05-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,8,Ugx8eoSO99D_anZniiB4AaABAg,root,False,False,Aww this was so fun and you were amazing,UCE1ncW3UDmvESmFvmz7txTg,False,False,1,2025-05-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,9,UgwF_ymxY6wBwwIMwPJ4AaABAg,root,False,False,Its so nice to see you play😍😍😍 we want mooore🎉,UCrjRlZicTlcGjClPcwJcYHg,False,False,0,2025-05-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,10,Ugw2dI9Fe3_84uT_TQx4AaABAg,root,False,False,This was amazing Whitney 😅 👏🏾👏🏾 Kids growing up to vote for kanye! Honestly no more emotional f boys,UCSxn4DOjei2ff0WfzwtU8Nw,False,False,0,2025-05-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,11,UgwGgupV_F_04rW_C9d4AaABAg,root,False,False,What happened to ur main channel?,UCo6o1qH098M6LvRXzE4uWxA,False,False,1,2025-05-19 00:00:00,False,False
pepuquZmNwo,2025-01-13 01:48:46,12,UgwnkaGteJTih0QnLW94AaABAg,root,False,False,Ma'am I'm a subscriber and I really Love your videos but can I ask why you haven't been posting like you used to?,UCaFAcakwLEcM4KaCW0gfq_g,False,False,1,2025-05-19 00:00:00,False,False
