video_id,video_published_at,comment_index,id,parent,is_reply,parent_is_uploader,text,author_id,author_is_uploader,author_is_verified,like_count,timestamp,is_favorited,is_pinned
vq9HWnOmmsE,2026-02-14 02:00:59,0,UgwGnECWNDwkK8AdzQt4AaABAg,root,False,False,중복 없다면서! 중복 없다고 했잖아요!,UCDpW8ieVKHGLqY0uZ8lr_jg,False,False,10,2026-02-19 00:00:00,False,False
vq9HWnOmmsE,2026-02-14 02:00:59,1,UgxQa69P1i4r1pMNGmZ4AaABAg,root,False,False,드디어 올라왔다!!!!!중복 풀박스!!!,UCTvZIHvs6g4Fy-pap8b2OMA,False,False,9,2026-02-19 00:00:00,False,False
vq9HWnOmmsE,2026-02-14 02:00:59,2,Ugzyse60YoxFzfwM6Tx4AaABAg,root,False,False,중복 풀박스 너무하자나ㅠㅠ 와 마지막 대박 ㅋㅋㅋㅋㅋ,UCggLyDRa2Osmh1093t179Wg,False,False,7,2026-02-19 00:00:00,False,False
vq9HWnOmmsE,2026-02-14 02:00:59,3,Ugz5jWvpVG_urQtbuL94AaABAg,root,False,False,이건 진짜 보상 해줘야함,UCDpspAZP4l-HxjgwmZ2KvpQ,False,False,1,2026-03-19 00:00:00,False,False
vq9HWnOmmsE,2026-02-14 02:00:59,4,UgwswwVGKEMSjzyCwip4AaABAg,root,False,False,중복이 없을 리가 없어요!ㅋㅋㅋ,UCdTmEcVW4e18lkGcdKCs0ZQ,False,False,2,2026-02-19 00:00:00,False,False
vq9HWnOmmsE,2026-02-14 02:00:59,5,UgzOQ8wKladBCWliO3B4AaABAg,root,False,False,어제 라이브보고 진짜 재밌어서 구독 박았습니다!!,UCpsb4MT889ONrl2zlRueEag,False,False,1,2026-02-19 00:00:00,False,False
vq9HWnOmmsE,2026-02-14 02:00:59,6,UgyVoR9Nt0DMOX1cSPh4AaABAg,root,False,False,오랜만에 놀러왔는데 너무 재밌네요!,UCi_tn6PDl8XaDV9qwqgJMTA,False,False,1,2026-02-19 00:00:00,False,False
vq9HWnOmmsE,2026-02-14 02:00:59,7,Ugxq8nCjxRUSMUkpgBx4AaABAg,root,False,False,오오!! 형진이님의 영상이다!!,UCrJv00zU91IRbdPFqL01sAg,False,False,1,2026-02-19 00:00:00,False,False
vq9HWnOmmsE,2026-02-14 02:00:59,8,Ugxja9CYZ-TH8x0bz3p4AaABAg,root,False,False,잘보고갑니다!,UCUU4Vm6IPrPOGOVmgXu9qnw,False,False,0,2026-03-19 00:00:00,False,False
vq9HWnOmmsE,2026-02-14 02:00:59,9,Ugz4Oh9HFlxVqompe2V4AaABAg,root,False,False,펀코팝 피규어 개봉 해주세요,UCToTQa4lsVa-7X6VfXOJ4Xw,False,False,1,2026-02-19 00:00:00,False,False
vq9HWnOmmsE,2026-02-14 02:00:59,10,UgwT2qqOzc8_KC9YFSl4AaABAg,root,False,False,첫댓! 우리집 강아지 이름이 제리라서 반갑게 달려왔다,UC68UzIonXdcdKxaXPZ2RqzA,False,False,2,2026-02-19 00:00:00,False,False
vq9HWnOmmsE,2026-02-14 02:00:59,11,UgySQ1FCpiaoWd9bTPN4AaABAg,root,False,False,스컬판다 마이리틀포니 시리즈 개봉해주세요(1트),UCFTHsCePFe-6EjLrLOzmZ-A,False,False,1,2026-02-19 00:00:00,False,False
