video_id,video_published_at,comment_index,id,parent,is_reply,parent_is_uploader,text,author_id,author_is_uploader,author_is_verified,like_count,timestamp,is_favorited,is_pinned
T7aJy2C2xMU,2022-06-01 11:37:17,0,UgzybyGKLv5MTdqO_M94AaABAg,root,False,False,8:09 부터 반복재생…. 이 코디 자주해줘요…🥺,UC-2mTnt8tvp0uFx5D88mduQ,False,False,11,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,1,Ugx1xNuazqLDFI8o2eR4AaABAg,root,False,False,저 살면서 남에 콧물 이렇게 자세히 본 거 군대 화생방 이 후로 처음이에요,UCYrlrMRMvcpvMNTmdps2-KA,False,False,6,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,2,Ugx5oWFju3qO0kSzYQp4AaABAg,root,False,False,11:34 아 언니 귀여워 미치겠네ㅋㅋㅋㅋ,UCwFr2JUWgZnQyKwHlSxIl4A,False,False,7,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,3,Ugx6LC8NeGFgA-Z4JB14AaABAg,root,False,False,나 진짜 언니같이 다보여주는 유튜바 처음봐,UCXOSnZ7vL80A5J__YRuOGTg,False,False,14,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,4,UgxwAcKuCtfAlbRQH_54AaABAg,root,False,False,"5:53 콧물 맑아서 킹받았다가
13:07 기분 풀림 ㅋㅋㅋㅋㅋㅋ",UCjtID9ABR6__Rc1ObzJcukw,False,False,3,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,5,UgzmIQFJzkGHKToQDQx4AaABAg,root,False,False,"8:15 존예,,",UCNxRqAAAO-tNlj1-IkMwllg,False,False,5,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,6,UgwMUh_oELaQAAoBabh4AaABAg,root,False,False,13:42 송월 메밀국수,UCN44zkyBoDYoYDpgkxxNhdQ,False,False,4,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,7,Ugz6YSTGFyk8se-UvZt4AaABAg,root,False,False,10:25 존멋…배워보고 싶다.....💙,UCzPWBliWh9y6ywJEOyh4KBQ,False,False,9,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,8,Ugy3HqMxP25KgPKalk54AaABAg,root,False,False,사람은 끼리끼리 만난다더니 역시 다들 존예님들이시네요 👍😎👍,UCC2N7sQPSQOqtY2n_3SOG6Q,False,False,4,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,9,UgxmdKjsfIU_wmiHd694AaABAg,root,False,False,대게 먹을 때부터 겁나 이쁨 ㄷㄷㄷㄷㄷ,UC85NJZFuDmkOVN3oqqHrp2A,False,False,4,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,10,UgyypJInVG0R0MFeRkF4AaABAg,root,False,False,아니 콧물 영상미ㅋㅋㅋㅋㅋㅋㅋㅋ콧물미 거의 뭐 일본 청춘드라마 수준으로 아름답게 찍혔어요,UCa8dNhZenYX44y21yTp9aXg,False,False,1,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,11,UgxiGAvbK44W0QCrqCV4AaABAg,root,False,False,멸치눈나는 먹는모습이 사랑스럽다는 말의 표본!!,UCnzCikrLE5V4V832L4juWLw,False,False,3,2023-05-19 00:00:00,True,False
T7aJy2C2xMU,2022-06-01 11:37:17,12,UgxyLhenzTF8IraSfdd4AaABAg,root,False,False,와 막판에 머리 혹 안나셨어요?? 진짜 아팟겠다유 ㅋㅋㅋㅋㅋㅋ 돼람누님 타심ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 많이 타심ㅋㅋㅋ,UC8DTk1dPlHh_yJLgLWNJZhQ,False,False,6,2023-05-19 00:00:00,True,False
